m(max camber)=,0.04,,,,,,,,,
p(max position)=,0.4,,,,,,,,,
t(thickness)=,0.12,,,,,,,,,
AOA(⍺)=,-10,,,,,,,,,
Conversion(Radians)=,-0.174532925199433,,,,,,,,,
,X,Yc,Chord X,Chord Y,Slope angle(θ),Yt,xu,yu,xl,yl
,0,0,0,0,0.2,0,0,0,0,0
,0.0025,0.0004984375,1,0,0.19875,0.00871668416293359,0.000778942204259273,0.00904352631522348,0.00422105779574073,-0.00804665131522348
,0.005,0.00099375,,,0.1975,0.0122131474844947,0.00260355395775927,0.0129694761927888,0.00739644604224073,-0.0109819761927888
,0.0075,0.0014859375,,,0.19625,0.0148485818137621,0.00460463504713215,0.0160494962570378,0.0103953649528678,-0.0130776212570378
,0.01,0.001975,,,0.195,0.017037073971,0.00669878521074086,0.0186891817151933,0.0133012147892591,-0.0147391817151933
,0.0125,0.0024609375,,,0.19375,0.0189390266528367,0.00885347840081378,0.021045598131379,0.0161465215991862,-0.016123723131379
,0.015,0.00294375,,,0.1925,0.0206367117634073,0.011051922306764,0.0231992814651116,0.018948077693236,-0.0173117814651116
,0.0175,0.0034234375,,,0.19125,0.0221790089180859,0.0132840753127097,0.0251980652952031,0.0217159246872903,-0.0183511902952031
,0.02,0.0039,,,0.19,0.0235977712961143,0.0155433509891077,0.027073111352113,0.0244566490108923,-0.019273111352113
,0.0225,0.0043734375,,,0.18875,0.0249151289048086,0.0178251434076325,0.0288460622914691,0.0271748565923675,-0.0200991872914691
,0.025,0.00484375,,,0.1875,0.0261471986425573,0.0201260759719294,0.0305326748786699,0.0298739240280706,-0.0208451748786699
,0.0275,0.0053109375,,,0.18625,0.0273061512090666,0.0224435818165941,0.0321448438314854,0.0325564181834059,-0.0215229688314854
,0.03,0.005775,,,0.185,0.028401445417032,0.0247756525683511,0.0336918102706966,0.0352243474316489,-0.0221418102706966
,0.0325,0.0062359375,,,0.18375,0.0294406064581788,0.027120679517652,0.0351809235904017,0.037879320482348,-0.0227090485904017
,0.035,0.00669375,,,0.1825,0.030429738573433,0.0294773487202194,0.0366181432685262,0.0405226512797806,-0.0232306432685262
,0.0375,0.0071484375,,,0.18125,0.0313738751622281,0.0318445691747079,0.0380083815193175,0.0431554308252921,-0.0237115065193175
,0.04,0.0076,,,0.18,0.032277225216,0.0342214221382103,0.0393557444494633,0.0457785778617897,-0.0241557444494633
,0.0425,0.0080484375,,,0.17875,0.0331433512990601,0.036607124426485,0.0406637062066653,0.048392875573515,-0.0245668312066653
,0.045,0.00849375,,,0.1775,0.033975300974609,0.039001001244454,0.0419352375603079,0.050998998755546,-0.0249477375603079
,0.0475,0.0089359375,,,0.17625,0.0347757057471129,0.0414024656798265,0.0431729026900411,0.0535975343201735,-0.0253010276900411
,0.05,0.009375,,,0.175,0.0355468568261813,0.0438110029606874,0.0443789332913947,0.0561889970393126,-0.0256289332913947
,0.0525,0.0098109375,,,0.17375,0.0362907640219678,0.0462261581870565,0.0455552861750607,0.0587738418129435,-0.0259334111750607
,0.055,0.01024375,,,0.1725,0.0370092021471848,0.0486475266405174,0.046703688642135,0.0613524733594826,-0.026216188642135
,0.0575,0.0106734375,,,0.17125,0.03770374801983,0.0510747460372854,0.0478256746635606,0.0639252539627146,-0.0264787996635606
,0.06,0.0111,,,0.17,0.0383758102939395,0.0535074902671219,0.0489226140435179,0.0664925097328781,-0.0267226140435179
,0.0625,0.0115234375,,,0.16875,0.0390266537475586,0.0559454642828362,0.0499957361610399,0.0690545357171638,-0.0269488611610399
,0.065,0.01194375,,,0.1675,0.0396574192370084,0.0583883998911619,0.0510461494729308,0.0716116001088381,-0.0271586494729308
,0.0675,0.0123609375,,,0.16625,0.0402691402266691,0.0608360522572968,0.0520748576675893,0.0741639477427032,-0.0273529826675893
